; ------------------------------------------------
; |       SCELBI'S GALAXY GAME       |
; |           FOR THE 8080           |
; ------------------------------------------------
+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++    2008:00000111 11011000: 01001011 : 4B:113 > opcode: mov c,e
++    2009:00000111 11011001: 01000010 : 42:102 > opcode: mov b,d
++    2010:00000111 11011010: 00101110 : 2E:056 > opcode: mvi l,051H
++    2011:00000111 11011011: 01010001 : 51:121 > immediate:  051H : 81
++    2012:00000111 11011100: 01011110 : 5E:136 > opcode: mov e,m
++    2013:00000111 11011101: 00101100 : 2C:054 > opcode: inr l
++    2014:00000111 11011110: 01010110 : 56:126 > opcode: mov d,m
++    2015:00000111 11011111: 11001101 : CD:315 > opcode: call FMSD
++    2016:00000111 11100000: 01111101 : 7D:175 > lb: 125
++    2017:00000111 11100001: 00001001 : 09:011 > hb: 9
++    2018:00000111 11100010: 11001101 : CD:315 > opcode: call TOMN
++    2019:00000111 11100011: 01100100 : 64:144 > lb: 100
++    2020:00000111 11100100: 00001001 : 09:011 > hb: 9
++    2021:00000111 11100101: 01011001 : 59:131 > opcode: mov e,c
++    2022:00000111 11100110: 01010000 : 50:120 > opcode: mov d,b
++    2023:00000111 11100111: 11000011 : C3:303 > opcode: jmp SD0
++    2024:00000111 11101000: 10110101 : B5:265 > lb: 181
++    2025:00000111 11101001: 00000111 : 07:007 > hb: 7
++    2026:00000111 11101010: 00110110 : 36:066 > opcode: mvi m,080H
++    2027:00000111 11101011: 10000000 : 80:200 > immediate:  080H : 128
++    2028:00000111 11101100: 01000101 : 45:105 > opcode: mov b,l
++    2029:00000111 11101101: 00101110 : 2E:056 > opcode: mvi l,059H
++    2030:00000111 11101110: 01011001 : 59:131 > immediate:  059H : 89
++    2031:00000111 11101111: 01111110 : 7E:176 > opcode: mov a,m
++    2032:00000111 11110000: 11000110 : C6:306 > opcode: adi 00C0H
++    2033:00000111 11110001: 11000000 : C0:300 > immediate:  00C0H : 192
++    2034:00000111 11110010: 01101111 : 6F:157 > opcode: mov l,a
++    2035:00000111 11110011: 01111000 : 78:170 > opcode: mov a,b
++    2036:00000111 11110100: 11111110 : FE:376 > opcode: cpi 04BH
++    2037:00000111 11110101: 01001011 : 4B:113 > immediate:  04BH : 75
++    2038:00000111 11110110: 11000010 : C2:302 > opcode: jnz DLAS
++    2039:00000111 11110111: 00001101 : 0D:015 > lb: 13
++    2040:00000111 11111000: 00001000 : 08:010 > hb: 8
++    2041:00000111 11111001: 01111110 : 7E:176 > opcode: mov a,m
++    2042:00000111 11111010: 11100110 : E6:346 > opcode: ani 037H
++    2043:00000111 11111011: 00110111 : 37:067 > immediate:  037H : 55
++    2044:00000111 11111100: 01110111 : 77:167 > opcode: mov m,a
++    2045:00000111 11111101: 00101110 : 2E:056 > opcode: mvi l,042H
++    2046:00000111 11111110: 01000010 : 42:102 > immediate:  042H : 66
++    2047:00000111 11111111: 01110111 : 77:167 > opcode: mov m,a
++    2048:00001000 00000000: 00101110 : 2E:056 > opcode: mvi l,05BH
++    2049:00001000 00000001: 01011011 : 5B:133 > immediate:  05BH : 91
++    2050:00001000 00000010: 00110101 : 35:065 > opcode: dcr m
++    2051:00001000 00000011: 11000000 : C0:300 > opcode: rnz
++    2052:00001000 00000100: 00100001 : 21:041 > opcode: lxi h,MSGDSE
++    2053:00001000 00000101: 00010101 : 15:025 > lb: 21
++    2054:00001000 00000110: 00000011 : 03:003 > hb: 3
++    2055:00001000 00000111: 11001101 : CD:315 > opcode: call MSG
++    2056:00001000 00001000: 00000000 : 00:000 > lb: 0
++    2057:00001000 00001001: 00000101 : 05:005 > hb: 5
++    2058:00001000 00001010: 00100110 : 26:046 > opcode: mvi h,000
++    2059:00001000 00001011: 00000000 : 00:000 > immediate:  000 : 000
++    2060:00001000 00001100: 11001001 : C9:311 > opcode: ret
++    2061:00001000 00001101: 01111110 : 7E:176 > opcode: mov a,m
++    2062:00001000 00001110: 11010110 : D6:326 > opcode: sui 010H
++    2063:00001000 00001111: 00010000 : 10:020 > immediate:  010H : 16
++    2064:00001000 00010000: 01110111 : 77:167 > opcode: mov m,a
++    2065:00001000 00010001: 00101110 : 2E:056 > opcode: mvi l,042H
++    2066:00001000 00010010: 01000010 : 42:102 > immediate:  042H : 66
++    2067:00001000 00010011: 01110111 : 77:167 > opcode: mov m,a
++    2068:00001000 00010100: 00101110 : 2E:056 > opcode: mvi l,05CH
++    2069:00001000 00010101: 01011100 : 5C:134 > immediate:  05CH : 92
++    2070:00001000 00010110: 00110101 : 35:065 > opcode: dcr m
++    2071:00001000 00010111: 11000000 : C0:300 > opcode: rnz
++    2072:00001000 00011000: 00100001 : 21:041 > opcode: lxi h,MSGCYH
++    2073:00001000 00011001: 11010100 : D4:324 > lb: 212
++    2074:00001000 00011010: 00000011 : 03:003 > hb: 3
++    2075:00001000 00011011: 11000011 : C3:303 > opcode: jmp DONE
++    2076:00001000 00011100: 11111110 : FE:376 > lb: 254
++    2077:00001000 00011101: 00000110 : 06:006 > hb: 6
++    2078:00001000 00011110: 11001101 : CD:315 > opcode: call INPUT
++    2079:00001000 00011111: 10001011 : 8B:213 > lb: 139
++    2080:00001000 00100000: 00001111 : 0F:017 > hb: 15
++    2081:00001000 00100001: 00100001 : 21:041 > opcode: lxi h,005EH
++    2082:00001000 00100010: 01011110 : 5E:136 > lb: 94
++    2083:00001000 00100011: 00000000 : 00:000 > hb: 0
++    2084:00001000 00100100: 11111110 : FE:376 > opcode: cpi '1'
++    2085:00001000 00100101: 00110001 : 31:061 > immediate:  '1' : 49
++    2086:00001000 00100110: 11011010 : DA:332 > opcode: jc ZRET
++    2087:00001000 00100111: 01001111 : 4F:117 > lb: 79
++    2088:00001000 00101000: 00001000 : 08:010 > hb: 8
++    2089:00001000 00101001: 11111110 : FE:376 > opcode: cpi '9'
++    2090:00001000 00101010: 00111001 : 39:071 > immediate:  '9' : 57
++    2091:00001000 00101011: 11010010 : D2:322 > opcode: jnc ZRET
++    2092:00001000 00101100: 01001111 : 4F:117 > lb: 79
++    2093:00001000 00101101: 00001000 : 08:010 > hb: 8
++    2094:00001000 00101110: 11100110 : E6:346 > opcode: ani 00FH
++    2095:00001000 00101111: 00001111 : 0F:017 > immediate:  00FH : 15
++    2096:00001000 00110000: 00000111 : 07:007 > opcode: rlc
++    2097:00001000 00110001: 01110111 : 77:167 > opcode: mov m,a
++    2098:00001000 00110010: 00111110 : 3E:076 > opcode: mvi a,'.'
++    2099:00001000 00110011: 00101110 : 2E:056 > immediate:  '.' : 46
++    2100:00001000 00110100: 11001101 : CD:315 > opcode: call PRINT
++    2101:00001000 00110101: 10010101 : 95:225 > lb: 149
++    2102:00001000 00110110: 00001111 : 0F:017 > hb: 15
++    2103:00001000 00110111: 11001101 : CD:315 > opcode: call INPUT
++    2104:00001000 00111000: 10001011 : 8B:213 > lb: 139
++    2105:00001000 00111001: 00001111 : 0F:017 > hb: 15
++    2106:00001000 00111010: 11111110 : FE:376 > opcode: cpi '0'
++    2107:00001000 00111011: 00110000 : 30:060 > immediate:  '0' : 48
++    2108:00001000 00111100: 11001010 : CA:312 > opcode: jz CR1
++    2109:00001000 00111101: 01000100 : 44:104 > lb: 68
++    2110:00001000 00111110: 00001000 : 08:010 > hb: 8
++    2111:00001000 00111111: 11111110 : FE:376 > opcode: cpi '5'
++    2112:00001000 01000000: 00110101 : 35:065 > immediate:  '5' : 53
++    2113:00001000 01000001: 11000010 : C2:302 > opcode: jnz ZRET
++    2114:00001000 01000010: 01001111 : 4F:117 > lb: 79
++    2115:00001000 01000011: 00001000 : 08:010 > hb: 8
++    2116:00001000 01000100: 11100110 : E6:346 > opcode: ani 001
++    2117:00001000 01000101: 00000001 : 01:001 > immediate:  001 : 001
++    2118:00001000 01000110: 10000110 : 86:206 > opcode: add m
++    2119:00001000 01000111: 00000111 : 07:007 > opcode: rlc
++    2120:00001000 01001000: 11010110 : D6:326 > opcode: sui 004
++    2121:00001000 01001001: 00000100 : 04:004 > immediate:  004 : 004
++    2122:00001000 01001010: 01110111 : 77:167 > opcode: mov m,a
++    2123:00001000 01001011: 11000000 : C0:300 > opcode: rnz
++    2124:00001000 01001100: 11000110 : C6:306 > opcode: adi 1
++    2125:00001000 01001101: 00000001 : 01:001 > immediate:  1 : 1
++    2126:00001000 01001110: 11001001 : C9:311 > opcode: ret
++    2127:00001000 01001111: 10101111 : AF:257 > opcode: xra a
++    2128:00001000 01010000: 11001001 : C9:311 > opcode: ret
++    2129:00001000 01010001: 00100001 : 21:041 > opcode: lxi h,0059H
++    2130:00001000 01010010: 01011001 : 59:131 > lb: 89
++    2131:00001000 01010011: 00000000 : 00:000 > hb: 0
++    2132:00001000 01010100: 01111110 : 7E:176 > opcode: mov a,m
++    2133:00001000 01010101: 11000110 : C6:306 > opcode: adi 00C0H
++    2134:00001000 01010110: 11000000 : C0:300 > immediate:  00C0H : 192
++    2135:00001000 01010111: 01101111 : 6F:157 > opcode: mov l,a
++    2136:00001000 01011000: 01111110 : 7E:176 > opcode: mov a,m
++    2137:00001000 01011001: 00101110 : 2E:056 > opcode: mvi l,042H
++    2138:00001000 01011010: 01000010 : 42:102 > immediate:  042H : 66
++    2139:00001000 01011011: 01110111 : 77:167 > opcode: mov m,a
++    2140:00001000 01011100: 11001001 : C9:311 > opcode: ret
++    2141:00001000 01011101: 00101110 : 2E:056 > opcode: mvi l,05EH
++    2142:00001000 01011110: 01011110 : 5E:136 > immediate:  05EH : 94
++    2143:00001000 01011111: 01101110 : 6E:156 > opcode: mov l,m
++    2144:00001000 01100000: 01001110 : 4E:116 > opcode: mov c,m
++    2145:00001000 01100001: 00101100 : 2C:054 > opcode: inr l
++    2146:00001000 01100010: 01010110 : 56:126 > opcode: mov d,m
++    2147:00001000 01100011: 00101110 : 2E:056 > opcode: mvi l,043H
++    2148:00001000 01100100: 01000011 : 43:103 > immediate:  043H : 67
++    2149:00001000 01100101: 01111110 : 7E:176 > opcode: mov a,m
++    2150:00001000 01100110: 01000111 : 47:107 > opcode: mov b,a
++    2151:00001000 01100111: 11100110 : E6:346 > opcode: ani 007
++    2152:00001000 01101000: 00000111 : 07:007 > immediate:  007 : 007
++    2153:00001000 01101001: 00101110 : 2E:056 > opcode: mvi l,05EH
++    2154:00001000 01101010: 01011110 : 5E:136 > immediate:  05EH : 94
++    2155:00001000 01101011: 00000111 : 07:007 > opcode: rlc
++    2156:00001000 01101100: 01110111 : 77:167 > opcode: mov m,a
++    2157:00001000 01101101: 00101100 : 2C:054 > opcode: inr l
++    2158:00001000 01101110: 01111000 : 78:170 > opcode: mov a,b
++    2159:00001000 01101111: 11100110 : E6:346 > opcode: ani 038H
++    2160:00001000 01110000: 00111000 : 38:070 > immediate:  038H : 56
++    2161:00001000 01110001: 00001111 : 0F:017 > opcode: rrc
++    2162:00001000 01110010: 00001111 : 0F:017 > opcode: rrc
++    2163:00001000 01110011: 01110111 : 77:167 > opcode: mov m,a
++    2164:00001000 01110100: 11001001 : C9:311 > opcode: ret
++    2165:00001000 01110101: 00101110 : 2E:056 > opcode: mvi l,030H
++    2166:00001000 01110110: 00110000 : 30:060 > immediate:  030H : 48
++    2167:00001000 01110111: 01110100 : 74:164 > opcode: mov m,h
++    2168:00001000 01111000: 00101110 : 2E:056 > opcode: mvi l,05EH
++    2169:00001000 01111001: 01011110 : 5E:136 > immediate:  05EH : 94
++    2170:00001000 01111010: 01111110 : 7E:176 > opcode: mov a,m
++    2171:00001000 01111011: 10000001 : 81:201 > opcode: add c
++    2172:00001000 01111100: 01110111 : 77:167 > opcode: mov m,a
++    2173:00001000 01111101: 11110010 : F2:362 > opcode: jp NOBK
++    2174:00001000 01111110: 10010000 : 90:220 > lb: 144
++    2175:00001000 01111111: 00001000 : 08:010 > hb: 8
++    2176:00001000 10000000: 11100110 : E6:346 > opcode: ani 00FH
++    2177:00001000 10000001: 00001111 : 0F:017 > immediate:  00FH : 15
++    2178:00001000 10000010: 01110111 : 77:167 > opcode: mov m,a
++    2179:00001000 10000011: 00101110 : 2E:056 > opcode: mvi l,030H
++    2180:00001000 10000100: 00110000 : 30:060 > immediate:  030H : 48
++    2181:00001000 10000101: 01110101 : 75:165 > opcode: mov m,l
++    2182:00001000 10000110: 00101110 : 2E:056 > opcode: mvi l,059H
++    2183:00001000 10000111: 01011001 : 59:131 > immediate:  059H : 89
++    2184:00001000 10001000: 01111110 : 7E:176 > opcode: mov a,m
++    2185:00001000 10001001: 11100110 : E6:346 > opcode: ani COLMSK
++    2186:00001000 10001010: 00000111 : 07:007 > immediate:  COLMSK : 7
++    2187:00001000 10001011: 11001000 : C8:310 > opcode: rz
++    2188:00001000 10001100: 00110101 : 35:065 > opcode: dcr m
++    2189:00001000 10001101: 11000011 : C3:303 > opcode: jmp RMV
++    2190:00001000 10001110: 10100110 : A6:246 > lb: 166
++    2191:00001000 10001111: 00001000 : 08:010 > hb: 8
++    2192:00001000 10010000: 11111110 : FE:376 > opcode: cpi 010H
++    2193:00001000 10010001: 00010000 : 10:020 > immediate:  010H : 16
++    2194:00001000 10010010: 11011010 : DA:332 > opcode: jc RMV
++    2195:00001000 10010011: 10100110 : A6:246 > lb: 166
++    2196:00001000 10010100: 00001000 : 08:010 > hb: 8
++    2197:00001000 10010101: 11100110 : E6:346 > opcode: ani 00FH
++    2198:00001000 10010110: 00001111 : 0F:017 > immediate:  00FH : 15
++    2199:00001000 10010111: 01110111 : 77:167 > opcode: mov m,a
++    2200:00001000 10011000: 00101110 : 2E:056 > opcode: mvi l,030H
++    2201:00001000 10011001: 00110000 : 30:060 > immediate:  030H : 48
++    2202:00001000 10011010: 01110101 : 75:165 > opcode: mov m,l
++    2203:00001000 10011011: 00101110 : 2E:056 > opcode: mvi l,059H
++    2204:00001000 10011100: 01011001 : 59:131 > immediate:  059H : 89
++    2205:00001000 10011101: 01111110 : 7E:176 > opcode: mov a,m
++    2206:00001000 10011110: 11100110 : E6:346 > opcode: ani 007
++    2207:00001000 10011111: 00000111 : 07:007 > immediate:  007 : 007
++    2208:00001000 10100000: 11000110 : C6:306 > opcode: adi 001
++    2209:00001000 10100001: 00000001 : 01:001 > immediate:  001 : 001
++    2210:00001000 10100010: 11111110 : FE:376 > opcode: cpi 008H
++    2211:00001000 10100011: 00001000 : 08:010 > immediate:  008H : 8
++    2212:00001000 10100100: 11001000 : C8:310 > opcode: rz
++    2213:00001000 10100101: 00110100 : 34:064 > opcode: inr m
++    2214:00001000 10100110: 00101110 : 2E:056 > opcode: mvi l,05FH
++    2215:00001000 10100111: 01011111 : 5F:137 > immediate:  05FH : 95
++    2216:00001000 10101000: 01111110 : 7E:176 > opcode: mov a,m
++    2217:00001000 10101001: 10000010 : 82:202 > opcode: add d
++    2218:00001000 10101010: 01110111 : 77:167 > opcode: mov m,a
++    2219:00001000 10101011: 11110010 : F2:362 > opcode: jp NOUP
++    2220:00001000 10101100: 11000001 : C1:301 > lb: 193
++    2221:00001000 10101101: 00001000 : 08:010 > hb: 8
++    2222:00001000 10101110: 11100110 : E6:346 > opcode: ani 00FH
++    2223:00001000 10101111: 00001111 : 0F:017 > immediate:  00FH : 15
++    2224:00001000 10110000: 01110111 : 77:167 > opcode: mov m,a
++    2225:00001000 10110001: 00101110 : 2E:056 > opcode: mvi l,030H
++    2226:00001000 10110010: 00110000 : 30:060 > immediate:  030H : 48
++    2227:00001000 10110011: 01110101 : 75:165 > opcode: mov m,l
++    2228:00001000 10110100: 00101110 : 2E:056 > opcode: mvi l,059H
++    2229:00001000 10110101: 01011001 : 59:131 > immediate:  059H : 89
++    2230:00001000 10110110: 01111110 : 7E:176 > opcode: mov a,m
++    2231:00001000 10110111: 11100110 : E6:346 > opcode: ani 038H
++    2232:00001000 10111000: 00111000 : 38:070 > immediate:  038H : 56
++    2233:00001000 10111001: 11001000 : C8:310 > opcode: rz
++    2234:00001000 10111010: 01111110 : 7E:176 > opcode: mov a,m
++    2235:00001000 10111011: 11010110 : D6:326 > opcode: sui 008H
++    2236:00001000 10111100: 00001000 : 08:010 > immediate:  008H : 8
++    2237:00001000 10111101: 01110111 : 77:167 > opcode: mov m,a
++    2238:00001000 10111110: 11000011 : C3:303 > opcode: jmp CKX
++    2239:00001000 10111111: 11011010 : DA:332 > lb: 218
++    2240:00001000 11000000: 00001000 : 08:010 > hb: 8
++    2241:00001000 11000001: 11111110 : FE:376 > opcode: cpi 010H
++    2242:00001000 11000010: 00010000 : 10:020 > immediate:  010H : 16
++    2243:00001000 11000011: 11011010 : DA:332 > opcode: jc CKX
++    2244:00001000 11000100: 11011010 : DA:332 > lb: 218
++    2245:00001000 11000101: 00001000 : 08:010 > hb: 8
++    2246:00001000 11000110: 11100110 : E6:346 > opcode: ani 00FH
++    2247:00001000 11000111: 00001111 : 0F:017 > immediate:  00FH : 15
++    2248:00001000 11001000: 01110111 : 77:167 > opcode: mov m,a
++    2249:00001000 11001001: 00101110 : 2E:056 > opcode: mvi l,030H
++    2250:00001000 11001010: 00110000 : 30:060 > immediate:  030H : 48
++    2251:00001000 11001011: 01110101 : 75:165 > opcode: mov m,l
++    2252:00001000 11001100: 00101110 : 2E:056 > opcode: mvi l,059H
++    2253:00001000 11001101: 01011001 : 59:131 > immediate:  059H : 89
++    2254:00001000 11001110: 01111110 : 7E:176 > opcode: mov a,m
++    2255:00001000 11001111: 11100110 : E6:346 > opcode: ani 038H
++    2256:00001000 11010000: 00111000 : 38:070 > immediate:  038H : 56
++    2257:00001000 11010001: 11000110 : C6:306 > opcode: adi 008H
++    2258:00001000 11010010: 00001000 : 08:010 > immediate:  008H : 8
++    2259:00001000 11010011: 11111110 : FE:376 > opcode: cpi 040H
++    2260:00001000 11010100: 01000000 : 40:100 > immediate:  040H : 64
++    2261:00001000 11010101: 11001000 : C8:310 > opcode: rz
++    2262:00001000 11010110: 01111110 : 7E:176 > opcode: mov a,m
++    2263:00001000 11010111: 11000110 : C6:306 > opcode: adi 008H
++    2264:00001000 11011000: 00001000 : 08:010 > immediate:  008H : 8
++    2265:00001000 11011001: 01110111 : 77:167 > opcode: mov m,a
++    2266:00001000 11011010: 00101110 : 2E:056 > opcode: mvi l,028H
++    2267:00001000 11011011: 00101000 : 28:050 > immediate:  028H : 40
++    2268:00001000 11011100: 01110011 : 73:163 > opcode: mov m,e
++    2269:00001000 11011101: 00101100 : 2C:054 > opcode: inr l
++    2270:00001000 11011110: 01110010 : 72:162 > opcode: mov m,d
++    2271:00001000 11011111: 00101100 : 2C:054 > opcode: inr l
++    2272:00001000 11100000: 01110001 : 71:161 > opcode: mov m,c
++    2273:00001000 11100001: 11000000 : C0:300 > opcode: rnz
++    2274:00001000 11100010: 00111110 : 3E:076 > opcode: mvi a,001
++    2275:00001000 11100011: 00000001 : 01:001 > immediate:  001 : 001
++    2276:00001000 11100100: 10100111 : A7:247 > opcode: ana a
++    2277:00001000 11100101: 11001001 : C9:311 > opcode: ret
++    2278:00001000 11100110: 10100111 : A7:247 > opcode: ana a
++    2279:00001000 11100111: 01111010 : 7A:172 > opcode: mov a,d
++    2280:00001000 11101000: 00011111 : 1F:037 > opcode: rar
++    2281:00001000 11101001: 01010111 : 57:127 > opcode: mov d,a
++    2282:00001000 11101010: 01111011 : 7B:173 > opcode: mov a,e
++    2283:00001000 11101011: 00011111 : 1F:037 > opcode: rar
++    2284:00001000 11101100: 01011111 : 5F:137 > opcode: mov e,a
++    2285:00001000 11101101: 00000101 : 05:005 > opcode: dcr b
++    2286:00001000 11101110: 11000010 : C2:302 > opcode: jnz DVD
++    2287:00001000 11101111: 11100110 : E6:346 > lb: 230
++    2288:00001000 11110000: 00001000 : 08:010 > hb: 8
++    2289:00001000 11110001: 11001001 : C9:311 > opcode: ret
++    2290:00001000 11110010: 11001101 : CD:315 > opcode: call ELOM
++    2291:00001000 11110011: 11010010 : D2:322 > lb: 210
++    2292:00001000 11110100: 00000111 : 07:007 > hb: 7
++    2293:00001000 11110101: 00100001 : 21:041 > opcode: lxi h,MSGNAS
++    2294:00001000 11110110: 01111001 : 79:171 > lb: 121
++    2295:00001000 11110111: 00000100 : 04:004 > hb: 4
++    2296:00001000 11111000: 11001101 : CD:315 > opcode: call MSG
++    2297:00001000 11111001: 00000000 : 00:000 > lb: 0
++    2298:00001000 11111010: 00000101 : 05:005 > hb: 5
++    2299:00001000 11111011: 11000011 : C3:303 > opcode: jmp CMND
++    2300:00001000 11111100: 00001110 : 0E:016 > lb: 14
++    2301:00001000 11111101: 00001011 : 0B:013 > hb: 11
++    2302:00001000 11111110: 00100001 : 21:041 > opcode: lxi h,0064H
++    2303:00001000 11111111: 01100100 : 64:144 > lb: 100
++    2304:00001001 00000000: 00000000 : 00:000 > hb: 0
++    2305:00001001 00000001: 01110100 : 74:164 > opcode: mov m,h
++    2306:00001001 00000010: 00101110 : 2E:056 > opcode: mvi l,063H
++    2307:00001001 00000011: 01100011 : 63:143 > immediate:  063H : 99
++    2308:00001001 00000100: 11001101 : CD:315 > opcode: call INPUT
++    2309:00001001 00000101: 10001011 : 8B:213 > lb: 139
++    2310:00001001 00000110: 00001111 : 0F:017 > hb: 15
++    2311:00001001 00000111: 11111110 : FE:376 > opcode: cpi '-'
++    2312:00001001 00001000: 00101101 : 2D:055 > immediate:  '-' : 45
++    2313:00001001 00001001: 11000010 : C2:302 > opcode: jnz EN2
++    2314:00001001 00001010: 00010010 : 12:022 > lb: 18
++    2315:00001001 00001011: 00001001 : 09:011 > hb: 9
++    2316:00001001 00001100: 00101100 : 2C:054 > opcode: inr l
++    2317:00001001 00001101: 01110101 : 75:165 > opcode: mov m,l
++    2318:00001001 00001110: 00101101 : 2D:055 > opcode: dcr l
++    2319:00001001 00001111: 11001101 : CD:315 > opcode: call INPUT
++    2320:00001001 00010000: 10001011 : 8B:213 > lb: 139
++    2321:00001001 00010001: 00001111 : 0F:017 > hb: 15
++    2322:00001001 00010010: 01110111 : 77:167 > opcode: mov m,a
++    2323:00001001 00010011: 11001101 : CD:315 > opcode: call FNUM
++    2324:00001001 00010100: 01101111 : 6F:157 > lb: 111
++    2325:00001001 00010101: 00000110 : 06:006 > hb: 6
++    2326:00001001 00010110: 11111000 : F8:370 > opcode: rm
++    2327:00001001 00010111: 01111110 : 7E:176 > opcode: mov a,m
++    2328:00001001 00011000: 11100110 : E6:346 > opcode: ani 00FH
++    2329:00001001 00011001: 00001111 : 0F:017 > immediate:  00FH : 15
++    2330:00001001 00011010: 01110111 : 77:167 > opcode: mov m,a
++    2331:00001001 00011011: 00101101 : 2D:055 > opcode: dcr l
++    2332:00001001 00011100: 00111110 : 3E:076 > opcode: mvi a,05FH
++    2333:00001001 00011101: 01011111 : 5F:137 > immediate:  05FH : 95
++    2334:00001001 00011110: 10111101 : BD:275 > opcode: cmp l
++    2335:00001001 00011111: 11001000 : C8:310 > opcode: rz
++    2336:00001001 00100000: 11000011 : C3:303 > opcode: jmp EN1
++    2337:00001001 00100001: 00001111 : 0F:017 > lb: 15
++    2338:00001001 00100010: 00001001 : 09:011 > hb: 9
++    2339:00001001 00100011: 00101110 : 2E:056 > opcode: mvi l,060H
++    2340:00001001 00100100: 01100000 : 60:140 > immediate:  060H : 96
++    2341:00001001 00100101: 01111110 : 7E:176 > opcode: mov a,m
++    2342:00001001 00100110: 00101101 : 2D:055 > opcode: dcr l
++    2343:00001001 00100111: 01110100 : 74:164 > opcode: mov m,h
++    2344:00001001 00101000: 00101101 : 2D:055 > opcode: dcr l
++    2345:00001001 00101001: 01110111 : 77:167 > opcode: mov m,a
++    2346:00001001 00101010: 00101110 : 2E:056 > opcode: mvi l,061H
++    2347:00001001 00101011: 01100001 : 61:141 > immediate:  061H : 97
++    2348:00001001 00101100: 01111110 : 7E:176 > opcode: mov a,m
++    2349:00001001 00101101: 10100111 : A7:247 > opcode: ana a
++    2350:00001001 00101110: 11001010 : CA:312 > opcode: jz DC1
++    2351:00001001 00101111: 00111000 : 38:070 > lb: 56
++    2352:00001001 00110000: 00001001 : 09:011 > hb: 9
++    2353:00001001 00110001: 01000111 : 47:107 > opcode: mov b,a
++    2354:00001001 00110010: 00011110 : 1E:036 > opcode: mvi e,00AH
++    2355:00001001 00110011: 00001010 : 0A:012 > immediate:  00AH : 10
++    2356:00001001 00110100: 01010100 : 54:124 > opcode: mov d,h
++    2357:00001001 00110101: 11001101 : CD:315 > opcode: call TOBN
++    2358:00001001 00110110: 01011010 : 5A:132 > lb: 90
++    2359:00001001 00110111: 00001001 : 09:011 > hb: 9
++    2360:00001001 00111000: 00101110 : 2E:056 > opcode: mvi l,062H
++    2361:00001001 00111001: 01100010 : 62:142 > immediate:  062H : 98
++    2362:00001001 00111010: 01111110 : 7E:176 > opcode: mov a,m
++    2363:00001001 00111011: 10100111 : A7:247 > opcode: ana a
++    2364:00001001 00111100: 11001010 : CA:312 > opcode: jz DC2
++    2365:00001001 00111101: 01000110 : 46:106 > lb: 70
++    2366:00001001 00111110: 00001001 : 09:011 > hb: 9
++    2367:00001001 00111111: 01000111 : 47:107 > opcode: mov b,a
++    2368:00001001 01000000: 00010001 : 11:021 > opcode: lxi d,064H
++    2369:00001001 01000001: 01100100 : 64:144 > lb: 100
++    2370:00001001 01000010: 00000000 : 00:000 > hb: 0
++    2371:00001001 01000011: 11001101 : CD:315 > opcode: call TOBN
++    2372:00001001 01000100: 01011010 : 5A:132 > lb: 90
++    2373:00001001 01000101: 00001001 : 09:011 > hb: 9
++    2374:00001001 01000110: 00101110 : 2E:056 > opcode: mvi l,063H
++    2375:00001001 01000111: 01100011 : 63:143 > immediate:  063H : 99
++    2376:00001001 01001000: 01111110 : 7E:176 > opcode: mov a,m
++    2377:00001001 01001001: 10100111 : A7:247 > opcode: ana a
++    2378:00001001 01001010: 11001010 : CA:312 > opcode: jz DC3
++    2379:00001001 01001011: 01010100 : 54:124 > lb: 84
++    2380:00001001 01001100: 00001001 : 09:011 > hb: 9
++    2381:00001001 01001101: 01000111 : 47:107 > opcode: mov b,a
++    2382:00001001 01001110: 00010001 : 11:021 > opcode: lxi d,03E8H
++    2383:00001001 01001111: 11101000 : E8:350 > lb: 232
++    2384:00001001 01010000: 00000011 : 03:003 > hb: 3
++    2385:00001001 01010001: 11001101 : CD:315 > opcode: call TOBN
++    2386:00001001 01010010: 01011010 : 5A:132 > lb: 90
++    2387:00001001 01010011: 00001001 : 09:011 > hb: 9
++    2388:00001001 01010100: 00101110 : 2E:056 > opcode: mvi l,05EH
++    2389:00001001 01010101: 01011110 : 5E:136 > immediate:  05EH : 94
++    2390:00001001 01010110: 01011110 : 5E:136 > opcode: mov e,m
++    2391:00001001 01010111: 00101100 : 2C:054 > opcode: inr l
++    2392:00001001 01011000: 01010110 : 56:126 > opcode: mov d,m
++    2393:00001001 01011001: 11001001 : C9:311 > opcode: ret
++    2394:00001001 01011010: 00101110 : 2E:056 > opcode: mvi l,05EH
++    2395:00001001 01011011: 01011110 : 5E:136 > immediate:  05EH : 94
++    2396:00001001 01011100: 11001101 : CD:315 > opcode: call TO1
++    2397:00001001 01011101: 01100110 : 66:146 > lb: 102
++    2398:00001001 01011110: 00001001 : 09:011 > hb: 9
++    2399:00001001 01011111: 00000101 : 05:005 > opcode: dcr b
++    2400:00001001 01100000: 11001000 : C8:310 > opcode: rz
++    2401:00001001 01100001: 11000011 : C3:303 > opcode: jmp TOBN
++    2402:00001001 01100010: 01011010 : 5A:132 > lb: 90
++    2403:00001001 01100011: 00001001 : 09:011 > hb: 9
++    2404:00001001 01100100: 00101110 : 2E:056 > opcode: mvi l,04FH
++    2405:00001001 01100101: 01001111 : 4F:117 > immediate:  04FH : 79
++    2406:00001001 01100110: 01111110 : 7E:176 > opcode: mov a,m
++    2407:00001001 01100111: 10000011 : 83:203 > opcode: add e
