+ Print Program Bytes and description.
++ Address:16-bit bytes       databyte :hex:oct > description
++    2796:00001010 11101100: 00101001 : 29:051 > lb: 41
++    2797:00001010 11101101: 00010000 : 10:020 > hb: 16
++    2798:00001010 11101110: 00100011 : 23:043 > opcode: inx h
++    2799:00001010 11101111: 11000011 : C3:303 > opcode: jmp MSG
++    2800:00001010 11110000: 11101000 : E8:350 > lb: 232
++    2801:00001010 11110001: 00001010 : 0A:012 > hb: 10
++    2802:00001010 11110010: 00100001 : 21:041 > opcode: lxi h,0040H
++    2803:00001010 11110011: 01000000 : 40:100 > lb: 64
++    2804:00001010 11110100: 00000000 : 00:000 > hb: 0
++    2805:00001010 11110101: 01111110 : 7E:176 > opcode: mov a,m
++    2806:00001010 11110110: 01000111 : 47:107 > opcode: mov b,a
++    2807:00001010 11110111: 00000111 : 07:007 > opcode: rlc
++    2808:00001010 11111000: 10101000 : A8:250 > opcode: xra b
++    2809:00001010 11111001: 00001111 : 0F:017 > opcode: rrc
++    2810:00001010 11111010: 00101100 : 2C:054 > opcode: inr l
++    2811:00001010 11111011: 00110100 : 34:064 > opcode: inr m
++    2812:00001010 11111100: 10000110 : 86:206 > opcode: add m
++    2813:00001010 11111101: 00101101 : 2D:055 > opcode: dcr l
++    2814:00001010 11111110: 01110111 : 77:167 > opcode: mov m,a
++    2815:00001010 11111111: 11001001 : C9:311 > opcode: ret
++    2816:00001011 00000000: 00011110 : 1E:036 > opcode: mvi e,0F7H
++    2817:00001011 00000001: 11110111 : F7:367 > immediate:  0F7H : 247
++    2818:00001011 00000010: 11000011 : C3:303 > opcode: jmp PLS
++    2819:00001011 00000011: 00001100 : 0C:014 > lb: 12
++    2820:00001011 00000100: 00001011 : 0B:013 > hb: 11
++    2821:00001011 00000101: 00011110 : 1E:036 > opcode: mvi e,STNMSK
++    2822:00001011 00000110: 00001000 : 08:010 > immediate:  STNMSK : 8
++    2823:00001011 00000111: 11000011 : C3:303 > opcode: jmp MNS
++    2824:00001011 00001000: 00011010 : 1A:032 > lb: 26
++    2825:00001011 00001001: 00001011 : 0B:013 > hb: 11
++    2826:00001011 00001010: 00011110 : 1E:036 > opcode: mvi e,0CFH
++    2827:00001011 00001011: 11001111 : CF:317 > immediate:  0CFH : 207
++    2828:00001011 00001100: 11001101 : CD:315 > opcode: call RN
++    2829:00001011 00001101: 11110010 : F2:362 > lb: 242
++    2830:00001011 00001110: 00001010 : 0A:012 > hb: 10
++    2831:00001011 00001111: 11110110 : F6:366 > opcode: ori 0C0H
++    2832:00001011 00010000: 11000000 : C0:300 > immediate:  0C0H : 192
++    2833:00001011 00010001: 01101111 : 6F:157 > opcode: mov l,a
++    2834:00001011 00010010: 01111011 : 7B:173 > opcode: mov a,e
++    2835:00001011 00010011: 10100110 : A6:246 > opcode: ana m
++    2836:00001011 00010100: 01110111 : 77:167 > opcode: mov m,a
++    2837:00001011 00010101: 11000011 : C3:303 > opcode: jmp GLXCK
++    2838:00001011 00010110: 10000010 : 82:202 > lb: 130
++    2839:00001011 00010111: 00000101 : 05:005 > hb: 5
++    2840:00001011 00011000: 00011110 : 1E:036 > opcode: mvi e,010H
++    2841:00001011 00011001: 00010000 : 10:020 > immediate:  010H : 16
++    2842:00001011 00011010: 11001101 : CD:315 > opcode: call RN
++    2843:00001011 00011011: 11110010 : F2:362 > lb: 242
++    2844:00001011 00011100: 00001010 : 0A:012 > hb: 10
++    2845:00001011 00011101: 11110110 : F6:366 > opcode: ori 0C0H
++    2846:00001011 00011110: 11000000 : C0:300 > immediate:  0C0H : 192
++    2847:00001011 00011111: 01101111 : 6F:157 > opcode: mov l,a
++    2848:00001011 00100000: 01111011 : 7B:173 > opcode: mov a,e
++    2849:00001011 00100001: 10110110 : B6:266 > opcode: ora m
++    2850:00001011 00100010: 01110111 : 77:167 > opcode: mov m,a
++    2851:00001011 00100011: 11000011 : C3:303 > opcode: jmp GLXCK
++    2852:00001011 00100100: 10000010 : 82:202 > lb: 130
++    2853:00001011 00100101: 00000101 : 05:005 > hb: 5
++    2854:00001011 00100110: 01111110 : 7E:176 > opcode: mov a,m
++    2855:00001011 00100111: 11000110 : C6:306 > opcode: adi '0'
++    2856:00001011 00101000: 00110000 : 30:060 > immediate:  '0' : 48
++    2857:00001011 00101001: 00100011 : 23:043 > opcode: inx h
++    2858:00001011 00101010: 11101011 : EB:353 > opcode: xchg
++    2859:00001011 00101011: 01110111 : 77:167 > opcode: mov m,a
++    2860:00001011 00101100: 00101011 : 2B:053 > opcode: dcx h
++    2861:00001011 00101101: 00000101 : 05:005 > opcode: dcr b
++    2862:00001011 00101110: 11001000 : C8:310 > opcode: rz
++    2863:00001011 00101111: 11101011 : EB:353 > opcode: xchg
++    2864:00001011 00110000: 11000011 : C3:303 > opcode: jmp DIGPRT
++    2865:00001011 00110001: 00100110 : 26:046 > lb: 38
++    2866:00001011 00110010: 00001011 : 0B:013 > hb: 11
++    2867:00001011 00110011: 11101011 : EB:353 > opcode: xchg
++    2868:00001011 00110100: 00100001 : 21:041 > opcode: lxi h,0060H
++    2869:00001011 00110101: 01100000 : 60:140 > lb: 96
++    2870:00001011 00110110: 00000000 : 00:000 > hb: 0
++    2871:00001011 00110111: 01110100 : 74:164 > opcode: mov m,h
++    2872:00001011 00111000: 00101100 : 2C:054 > opcode: inr l
++    2873:00001011 00111001: 01110100 : 74:164 > opcode: mov m,h
++    2874:00001011 00111010: 00101100 : 2C:054 > opcode: inr l
++    2875:00001011 00111011: 01110100 : 74:164 > opcode: mov m,h
++    2876:00001011 00111100: 00101100 : 2C:054 > opcode: inr l
++    2877:00001011 00111101: 01110100 : 74:164 > opcode: mov m,h
++    2878:00001011 00111110: 00101100 : 2C:054 > opcode: inr l
++    2879:00001011 00111111: 01110100 : 74:164 > opcode: mov m,h
++    2880:00001011 01000000: 11101011 : EB:353 > opcode: xchg
++    2881:00001011 01000001: 01011110 : 5E:136 > opcode: mov e,m
++    2882:00001011 01000010: 00000101 : 05:005 > opcode: dcr b
++    2883:00001011 01000011: 11001010 : CA:312 > opcode: jz BNDC
++    2884:00001011 01000100: 01001000 : 48:110 > lb: 72
++    2885:00001011 01000101: 00001011 : 0B:013 > hb: 11
++    2886:00001011 01000110: 00101100 : 2C:054 > opcode: inr l
++    2887:00001011 01000111: 01010110 : 56:126 > opcode: mov d,m
++    2888:00001011 01001000: 00100001 : 21:041 > opcode: lxi h,0064H
++    2889:00001011 01001001: 01100100 : 64:144 > lb: 100
++    2890:00001011 01001010: 00000000 : 00:000 > hb: 0
++    2891:00001011 01001011: 00000001 : 01:001 > opcode: lxi b,10000
++    2892:00001011 01001100: 00010000 : 10:020 > lb: 16
++    2893:00001011 01001101: 00100111 : 27:047 > hb: 39
++    2894:00001011 01001110: 11001101 : CD:315 > opcode: call BD
++    2895:00001011 01001111: 01101000 : 68:150 > lb: 104
++    2896:00001011 01010000: 00001011 : 0B:013 > hb: 11
++    2897:00001011 01010001: 00101101 : 2D:055 > opcode: dcr l
++    2898:00001011 01010010: 00000001 : 01:001 > opcode: lxi b,1000
++    2899:00001011 01010011: 11101000 : E8:350 > lb: 232
++    2900:00001011 01010100: 00000011 : 03:003 > hb: 3
++    2901:00001011 01010101: 11001101 : CD:315 > opcode: call BD
++    2902:00001011 01010110: 01101000 : 68:150 > lb: 104
++    2903:00001011 01010111: 00001011 : 0B:013 > hb: 11
++    2904:00001011 01011000: 00101101 : 2D:055 > opcode: dcr l
++    2905:00001011 01011001: 00000001 : 01:001 > opcode: lxi b,100
++    2906:00001011 01011010: 01100100 : 64:144 > lb: 100
++    2907:00001011 01011011: 00000000 : 00:000 > hb: 0
++    2908:00001011 01011100: 11001101 : CD:315 > opcode: call BD
++    2909:00001011 01011101: 01101000 : 68:150 > lb: 104
++    2910:00001011 01011110: 00001011 : 0B:013 > hb: 11
++    2911:00001011 01011111: 00101101 : 2D:055 > opcode: dcr l
++    2912:00001011 01100000: 00001110 : 0E:016 > opcode: mvi c,10
++    2913:00001011 01100001: 00001010 : 0A:012 > immediate:  10 : 10
++    2914:00001011 01100010: 11001101 : CD:315 > opcode: call BD
++    2915:00001011 01100011: 01101000 : 68:150 > lb: 104
++    2916:00001011 01100100: 00001011 : 0B:013 > hb: 11
++    2917:00001011 01100101: 00101101 : 2D:055 > opcode: dcr l
++    2918:00001011 01100110: 01110011 : 73:163 > opcode: mov m,e
++    2919:00001011 01100111: 11001001 : C9:311 > opcode: ret
++    2920:00001011 01101000: 00110100 : 34:064 > opcode: inr m
++    2921:00001011 01101001: 01111011 : 7B:173 > opcode: mov a,e
++    2922:00001011 01101010: 10010001 : 91:221 > opcode: sub c
++    2923:00001011 01101011: 01011111 : 5F:137 > opcode: mov e,a
++    2924:00001011 01101100: 01111010 : 7A:172 > opcode: mov a,d
++    2925:00001011 01101101: 10011000 : 98:230 > opcode: sbb b
++    2926:00001011 01101110: 01010111 : 57:127 > opcode: mov d,a
++    2927:00001011 01101111: 11010010 : D2:322 > opcode: jnc BD
++    2928:00001011 01110000: 01101000 : 68:150 > lb: 104
++    2929:00001011 01110001: 00001011 : 0B:013 > hb: 11
++    2930:00001011 01110010: 01111011 : 7B:173 > opcode: mov a,e
++    2931:00001011 01110011: 10000001 : 81:201 > opcode: add c
++    2932:00001011 01110100: 01011111 : 5F:137 > opcode: mov e,a
++    2933:00001011 01110101: 01111010 : 7A:172 > opcode: mov a,d
++    2934:00001011 01110110: 10001000 : 88:210 > opcode: adc b
++    2935:00001011 01110111: 01010111 : 57:127 > opcode: mov d,a
++    2936:00001011 01111000: 00110101 : 35:065 > opcode: dcr m
++    2937:00001011 01111001: 11001001 : C9:311 > opcode: ret
++    2938:00001011 01111010: 00101110 : 2E:056 > opcode: mvi l,04FH
++    2939:00001011 01111011: 01001111 : 4F:117 > immediate:  04FH : 79
++    2940:00001011 01111100: 00110110 : 36:066 > opcode: mvi m,088H
++    2941:00001011 01111101: 10001000 : 88:210 > immediate:  088H : 136
++    2942:00001011 01111110: 00101100 : 2C:054 > opcode: inr l
++    2943:00001011 01111111: 00110110 : 36:066 > opcode: mvi m,00BH
++    2944:00001011 10000000: 00001011 : 0B:013 > immediate:  00BH : 11
++    2945:00001011 10000001: 00101100 : 2C:054 > opcode: inr l
++    2946:00001011 10000010: 01110100 : 74:164 > opcode: mov m,h
++    2947:00001011 10000011: 00101100 : 2C:054 > opcode: inr l
++    2948:00001011 10000100: 01110100 : 74:164 > opcode: mov m,h
++    2949:00001011 10000101: 00101110 : 2E:056 > opcode: mvi l,05AH
++    2950:00001011 10000110: 01011010 : 5A:132 > immediate:  05AH : 90
++    2951:00001011 10000111: 00110110 : 36:066 > opcode: mvi m,10
++    2952:00001011 10001000: 00001010 : 0A:012 > immediate:  10 : 10
++    2953:00001011 10001001: 11001001 : C9:311 > opcode: ret
++    2954:00001011 10001010: 00001111 : 0F:017 > opcode: rrc
++    2955:00001011 10001011: 00001111 : 0F:017 > opcode: rrc
++    2956:00001011 10001100: 00001111 : 0F:017 > opcode: rrc
++    2957:00001011 10001101: 00001111 : 0F:017 > opcode: rrc
++    2958:00001011 10001110: 11001001 : C9:311 > opcode: ret
++    2959:00001011 10001111: 11001101 : CD:315 > opcode: call RN
++    2960:00001011 10010000: 11110010 : F2:362 > lb: 242
++    2961:00001011 10010001: 00001010 : 0A:012 > hb: 10
++    2962:00001011 10010010: 11100110 : E6:346 > opcode: ani 03FH
++    2963:00001011 10010011: 00111111 : 3F:077 > immediate:  03FH : 63
++    2964:00001011 10010100: 01000111 : 47:107 > opcode: mov b,a
++    2965:00001011 10010101: 11001101 : CD:315 > opcode: call MATCH
++    2966:00001011 10010110: 11011101 : DD:335 > lb: 221
++    2967:00001011 10010111: 00001100 : 0C:014 > hb: 12
++    2968:00001011 10011000: 11001010 : CA:312 > opcode: jz LOCSET
++    2969:00001011 10011001: 10001111 : 8F:217 > lb: 143
++    2970:00001011 10011010: 00001011 : 0B:013 > hb: 11
++    2971:00001011 10011011: 01101011 : 6B:153 > opcode: mov l,e
++    2972:00001011 10011100: 01110000 : 70:160 > opcode: mov m,b
++    2973:00001011 10011101: 00011100 : 1C:034 > opcode: inr e
++    2974:00001011 10011110: 00001101 : 0D:015 > opcode: dcr c
++    2975:00001011 10011111: 11000010 : C2:302 > opcode: jnz LOCSET
++    2976:00001011 10100000: 10001111 : 8F:217 > lb: 143
++    2977:00001011 10100001: 00001011 : 0B:013 > hb: 11
++    2978:00001011 10100010: 11001001 : C9:311 > opcode: ret
++    2979:00001011 10100011: 00100001 : 21:041 > opcode: lxi h,MSGSTDT2
++    2980:00001011 10100100: 10001111 : 8F:217 > lb: 143
++    2981:00001011 10100101: 00000001 : 01:001 > hb: 1
++    2982:00001011 10100110: 00110110 : 36:066 > opcode: mvi m,32
++    2983:00001011 10100111: 00100000 : 20:040 > immediate:  32 : 32
++    2984:00001011 10101000: 00101100 : 2C:054 > opcode: inr l
++    2985:00001011 10101001: 00111110 : 3E:076 > opcode: mvi a,0A7H
++    2986:00001011 10101010: 10100111 : A7:247 > immediate:  0A7H : 167
++    2987:00001011 10101011: 10111101 : BD:275 > opcode: cmp l
++    2988:00001011 10101100: 11000010 : C2:302 > opcode: jnz RCLR
++    2989:00001011 10101101: 10100110 : A6:246 > lb: 166
++    2990:00001011 10101110: 00001011 : 0B:013 > hb: 11
++    2991:00001011 10101111: 01111001 : 79:171 > opcode: mov a,c
++    2992:00001011 10110000: 11000110 : C6:306 > opcode: adi 0B0H
++    2993:00001011 10110001: 10110000 : B0:260 > immediate:  0B0H : 176
++    2994:00001011 10110010: 00100001 : 21:041 > opcode: lxi h,MSGSTDT1
++    2995:00001011 10110011: 10001110 : 8E:216 > lb: 142
++    2996:00001011 10110100: 00000001 : 01:001 > hb: 1
++    2997:00001011 10110101: 01110111 : 77:167 > opcode: mov m,a
++    2998:00001011 10110110: 00001101 : 0D:015 > opcode: dcr c
++    2999:00001011 10110111: 00100001 : 21:041 > opcode: lxi h,0043H
++    3000:00001011 10111000: 01000011 : 43:103 > lb: 67
++    3001:00001011 10111001: 00000000 : 00:000 > hb: 0
++    3002:00001011 10111010: 11001101 : CD:315 > opcode: call RWPNT
++    3003:00001011 10111011: 00001101 : 0D:015 > lb: 13
++    3004:00001011 10111100: 00001100 : 0C:014 > hb: 12
++    3005:00001011 10111101: 11000010 : C2:302 > opcode: jnz STR
++    3006:00001011 10111110: 11001000 : C8:310 > lb: 200
++    3007:00001011 10111111: 00001011 : 0B:013 > hb: 11
++    3008:00001011 11000000: 00110110 : 36:066 > opcode: mvi m,'x'
++    3009:00001011 11000001: 01111000 : 78:170 > immediate:  'x' : 120
++    3010:00001011 11000010: 00101100 : 2C:054 > opcode: inr l
++    3011:00001011 11000011: 00110110 : 36:066 > opcode: mvi m,'!'
++    3012:00001011 11000100: 00100001 : 21:041 > immediate:  '!' : 33
++    3013:00001011 11000101: 00101100 : 2C:054 > opcode: inr l
++    3014:00001011 11000110: 00110110 : 36:066 > opcode: mvi m,'x'
++    3015:00001011 11000111: 01111000 : 78:170 > immediate:  'x' : 120
++    3016:00001011 11001000: 00101110 : 2E:056 > opcode: mvi l,044H
++    3017:00001011 11001001: 01000100 : 44:104 > immediate:  044H : 68
++    3018:00001011 11001010: 00100110 : 26:046 > opcode: mvi h,000
++    3019:00001011 11001011: 00000000 : 00:000 > immediate:  000 : 000
++    3020:00001011 11001100: 11001101 : CD:315 > opcode: call RWPNT
++    3021:00001011 11001101: 00001101 : 0D:015 > lb: 13
++    3022:00001011 11001110: 00001100 : 0C:014 > hb: 12
++    3023:00001011 11001111: 11000010 : C2:302 > opcode: jnz NXSTR
++    3024:00001011 11010000: 11010110 : D6:326 > lb: 214
++    3025:00001011 11010001: 00001011 : 0B:013 > hb: 11
++    3026:00001011 11010010: 00101100 : 2C:054 > opcode: inr l
++    3027:00001011 11010011: 00110110 : 36:066 > opcode: mvi m,'*'
++    3028:00001011 11010100: 00101010 : 2A:052 > immediate:  '*' : 42
++    3029:00001011 11010101: 01101011 : 6B:153 > opcode: mov l,e
++    3030:00001011 11010110: 00101100 : 2C:054 > opcode: inr l
++    3031:00001011 11010111: 00111110 : 3E:076 > opcode: mvi a,04BH
++    3032:00001011 11011000: 01001011 : 4B:113 > immediate:  04BH : 75
++    3033:00001011 11011001: 10111101 : BD:275 > opcode: cmp l
++    3034:00001011 11011010: 11000010 : C2:302 > opcode: jnz STR1
++    3035:00001011 11011011: 11001010 : CA:312 > lb: 202
++    3036:00001011 11011100: 00001011 : 0B:013 > hb: 11
++    3037:00001011 11011101: 00100110 : 26:046 > opcode: mvi h,000
++    3038:00001011 11011110: 00000000 : 00:000 > immediate:  000 : 000
++    3039:00001011 11011111: 11001101 : CD:315 > opcode: call RWPNT
++    3040:00001011 11100000: 00001101 : 0D:015 > lb: 13
++    3041:00001011 11100001: 00001100 : 0C:014 > hb: 12
++    3042:00001011 11100010: 11000010 : C2:302 > opcode: jnz AS
++    3043:00001011 11100011: 11101101 : ED:355 > lb: 237
++    3044:00001011 11100100: 00001011 : 0B:013 > hb: 11
++    3045:00001011 11100101: 00110110 : 36:066 > opcode: mvi m,'>'
++    3046:00001011 11100110: 00111110 : 3E:076 > immediate:  '>' : 62
++    3047:00001011 11100111: 00101100 : 2C:054 > opcode: inr l
++    3048:00001011 11101000: 00110110 : 36:066 > opcode: mvi m,'1'
++    3049:00001011 11101001: 00110001 : 31:061 > immediate:  '1' : 49
++    3050:00001011 11101010: 00101100 : 2C:054 > opcode: inr l
++    3051:00001011 11101011: 00110110 : 36:066 > opcode: mvi m,'<'
++    3052:00001011 11101100: 00111100 : 3C:074 > immediate:  '<' : 60
++    3053:00001011 11101101: 00101110 : 2E:056 > opcode: mvi l,04CH
++    3054:00001011 11101110: 01001100 : 4C:114 > immediate:  04CH : 76
++    3055:00001011 11101111: 00100110 : 26:046 > opcode: mvi h,000
++    3056:00001011 11110000: 00000000 : 00:000 > immediate:  000 : 000
++    3057:00001011 11110001: 11001101 : CD:315 > opcode: call RWPNT
++    3058:00001011 11110010: 00001101 : 0D:015 > lb: 13
++    3059:00001011 11110011: 00001100 : 0C:014 > hb: 12
++    3060:00001011 11110100: 11000010 : C2:302 > opcode: jnz NXAS
++    3061:00001011 11110101: 00000000 : 00:000 > lb: 0
++    3062:00001011 11110110: 00001100 : 0C:014 > hb: 12
++    3063:00001011 11110111: 00110110 : 36:066 > opcode: mvi m,'|'
++    3064:00001011 11111000: 01111100 : 7C:174 > immediate:  '|' : 124
++    3065:00001011 11111001: 00101100 : 2C:054 > opcode: inr l
++    3066:00001011 11111010: 00110110 : 36:066 > opcode: mvi m,'o'
++    3067:00001011 11111011: 01101111 : 6F:157 > immediate:  'o' : 111
++    3068:00001011 11111100: 00101100 : 2C:054 > opcode: inr l
++    3069:00001011 11111101: 00110110 : 36:066 > opcode: mvi m,'|'
++    3070:00001011 11111110: 01111100 : 7C:174 > immediate:  '|' : 124
++    3071:00001011 11111111: 01101011 : 6B:153 > opcode: mov l,e
++    3072:00001100 00000000: 00101100 : 2C:054 > opcode: inr l
++    3073:00001100 00000001: 00111110 : 3E:076 > opcode: mvi a,04FH
++    3074:00001100 00000010: 01001111 : 4F:117 > immediate:  04FH : 79
++    3075:00001100 00000011: 10111101 : BD:275 > opcode: cmp l
++    3076:00001100 00000100: 11000010 : C2:302 > opcode: jnz AS1
++    3077:00001100 00000101: 11101111 : EF:357 > lb: 239
++    3078:00001100 00000110: 00001011 : 0B:013 > hb: 11
++    3079:00001100 00000111: 00100001 : 21:041 > opcode: lxi h,MSGSTDT
++    3080:00001100 00001000: 10001100 : 8C:214 > lb: 140
++    3081:00001100 00001001: 00000001 : 01:001 > hb: 1
++    3082:00001100 00001010: 11000011 : C3:303 > opcode: jmp CMSG
++    3083:00001100 00001011: 10000010 : 82:202 > lb: 130
++    3084:00001100 00001100: 00001101 : 0D:015 > hb: 13
++    3085:00001100 00001101: 01111110 : 7E:176 > opcode: mov a,m
++    3086:00001100 00001110: 10100111 : A7:247 > opcode: ana a
++    3087:00001100 00001111: 11111000 : F8:370 > opcode: rm
++    3088:00001100 00010000: 11001101 : CD:315 > opcode: call ROTR3
++    3089:00001100 00010001: 10001011 : 8B:213 > lb: 139
++    3090:00001100 00010010: 00001011 : 0B:013 > hb: 11
++    3091:00001100 00010011: 11100110 : E6:346 > opcode: ani 007
++    3092:00001100 00010100: 00000111 : 07:007 > immediate:  007 : 007
++    3093:00001100 00010101: 10111001 : B9:271 > opcode: cmp c
++    3094:00001100 00010110: 11000000 : C0:300 > opcode: rnz
++    3095:00001100 00010111: 01111110 : 7E:176 > opcode: mov a,m
++    3096:00001100 00011000: 11100110 : E6:346 > opcode: ani COLMSK
++    3097:00001100 00011001: 00000111 : 07:007 > immediate:  COLMSK : 7
++    3098:00001100 00011010: 01000111 : 47:107 > opcode: mov b,a
++    3099:00001100 00011011: 00000111 : 07:007 > opcode: rlc
++    3100:00001100 00011100: 10000000 : 80:200 > opcode: add b
++    3101:00001100 00011101: 11000110 : C6:306 > opcode: adi 08FH
++    3102:00001100 00011110: 10001111 : 8F:217 > immediate:  08FH : 143
++    3103:00001100 00011111: 01011101 : 5D:135 > opcode: mov e,l
++    3104:00001100 00100000: 01101111 : 6F:157 > opcode: mov l,a
++    3105:00001100 00100001: 00100110 : 26:046 > opcode: mvi h,001H
++    3106:00001100 00100010: 00000001 : 01:001 > immediate:  001H : 1
++    3107:00001100 00100011: 10101111 : AF:257 > opcode: xra a
++    3108:00001100 00100100: 10100111 : A7:247 > opcode: ana a
++    3109:00001100 00100101: 11001001 : C9:311 > opcode: ret
++    3110:00001100 00100110: 00110110 : 36:066 > opcode: mvi m,'R'
++    3111:00001100 00100111: 01010010 : 52:122 > immediate:  'R' : 82
++    3112:00001100 00101000: 00101100 : 2C:054 > opcode: inr l
++    3113:00001100 00101001: 00110110 : 36:066 > opcode: mvi m,'E'
++    3114:00001100 00101010: 01000101 : 45:105 > immediate:  'E' : 69
++    3115:00001100 00101011: 00101100 : 2C:054 > opcode: inr l
++    3116:00001100 00101100: 00110110 : 36:066 > opcode: mvi m,'D'
++    3117:00001100 00101101: 01000100 : 44:104 > immediate:  'D' : 68
++    3118:00001100 00101110: 00101100 : 2C:054 > opcode: inr l
++    3119:00001100 00101111: 00110110 : 36:066 > opcode: mvi m,0
++    3120:00001100 00110000: 00000000 : 00:000 > immediate:  0 : 0
++    3121:00001100 00110001: 11000011 : C3:303 > opcode: jmp CND
++    3122:00001100 00110010: 01001100 : 4C:114 > lb: 76
++    3123:00001100 00110011: 00000110 : 06:006 > hb: 6
++    3124:00001100 00110100: 00100001 : 21:041 > opcode: lxi h,0059H
++    3125:00001100 00110101: 01011001 : 59:131 > lb: 89
++    3126:00001100 00110110: 00000000 : 00:000 > hb: 0
++    3127:00001100 00110111: 00010001 : 11:021 > opcode: lxi d,MSGPQD
++    3128:00001100 00111000: 11010100 : D4:324 > lb: 212
++    3129:00001100 00111001: 00000001 : 01:001 > hb: 1
++    3130:00001100 00111010: 11001101 : CD:315 > opcode: call TWO
++    3131:00001100 00111011: 01000011 : 43:103 > lb: 67
++    3132:00001100 00111100: 00001100 : 0C:014 > hb: 12
++    3133:00001100 00111101: 00100001 : 21:041 > opcode: lxi h,MSGQAD
++    3134:00001100 00111110: 11001001 : C9:311 > lb: 201
++    3135:00001100 00111111: 00000001 : 01:001 > hb: 1
++    3136:00001100 01000000: 11000011 : C3:303 > opcode: jmp MSG
++    3137:00001100 01000001: 11101000 : E8:350 > lb: 232
++    3138:00001100 01000010: 00001010 : 0A:012 > hb: 10
++    3139:00001100 01000011: 01111110 : 7E:176 > opcode: mov a,m
++    3140:00001100 01000100: 01000111 : 47:107 > opcode: mov b,a
++    3141:00001100 01000101: 11101011 : EB:353 > opcode: xchg
++    3142:00001100 01000110: 11001101 : CD:315 > opcode: call ROTR3
++    3143:00001100 01000111: 10001011 : 8B:213 > lb: 139
++    3144:00001100 01001000: 00001011 : 0B:013 > hb: 11
++    3145:00001100 01001001: 11100110 : E6:346 > opcode: ani 007
++    3146:00001100 01001010: 00000111 : 07:007 > immediate:  007 : 007
++    3147:00001100 01001011: 11000110 : C6:306 > opcode: adi '1'
++    3148:00001100 01001100: 00110001 : 31:061 > immediate:  '1' : 49
++    3149:00001100 01001101: 01110111 : 77:167 > opcode: mov m,a
++    3150:00001100 01001110: 01111000 : 78:170 > opcode: mov a,b
++    3151:00001100 01001111: 11100110 : E6:346 > opcode: ani COLMSK
++    3152:00001100 01010000: 00000111 : 07:007 > immediate:  COLMSK : 7
++    3153:00001100 01010001: 11000110 : C6:306 > opcode: adi '1'
++    3154:00001100 01010010: 00110001 : 31:061 > immediate:  '1' : 49
++    3155:00001100 01010011: 00100011 : 23:043 > opcode: inx h
++    3156:00001100 01010100: 00100011 : 23:043 > opcode: inx h
++    3157:00001100 01010101: 01110111 : 77:167 > opcode: mov m,a
++    3158:00001100 01010110: 11001001 : C9:311 > opcode: ret
++    3159:00001100 01010111: 01111110 : 7E:176 > opcode: mov a,m
++    3160:00001100 01011000: 11111110 : FE:376 > opcode: cpi '0'
++    3161:00001100 01011001: 00110000 : 30:060 > immediate:  '0' : 48
++    3162:00001100 01011010: 11111000 : F8:370 > opcode: rm
++    3163:00001100 01011011: 11010110 : D6:326 > opcode: sui ':'
++    3164:00001100 01011100: 00111010 : 3A:072 > immediate:  ':' : 58
++    3165:00001100 01011101: 11000110 : C6:306 > opcode: adi 080H
++    3166:00001100 01011110: 10000000 : 80:200 > immediate:  080H : 128
++    3167:00001100 01011111: 11001001 : C9:311 > opcode: ret
++    3168:00001100 01100000: 00100110 : 26:046 > opcode: mvi h,19
++    3169:00001100 01100001: 00010011 : 13:023 > immediate:  19 : 19
++    3170:00001100 01100010: 00111110 : 3E:076 > opcode: mvi a,CR
++    3171:00001100 01100011: 00001101 : 0D:015 > immediate:  CR : 13
++    3172:00001100 01100100: 11001101 : CD:315 > opcode: call PRINT
++    3173:00001100 01100101: 00101001 : 29:051 > lb: 41
++    3174:00001100 01100110: 00010000 : 10:020 > hb: 16
++    3175:00001100 01100111: 00111110 : 3E:076 > opcode: mvi a,LF
++    3176:00001100 01101000: 00001010 : 0A:012 > immediate:  LF : 10
++    3177:00001100 01101001: 11001101 : CD:315 > opcode: call PRINT
++    3178:00001100 01101010: 00101001 : 29:051 > lb: 41
++    3179:00001100 01101011: 00010000 : 10:020 > hb: 16
++    3180:00001100 01101100: 00111110 : 3E:076 > opcode: mvi a,'-'
++    3181:00001100 01101101: 00101101 : 2D:055 > immediate:  '-' : 45
++    3182:00001100 01101110: 11001101 : CD:315 > opcode: call PRINT
++    3183:00001100 01101111: 00101001 : 29:051 > lb: 41
++    3184:00001100 01110000: 00010000 : 10:020 > hb: 16
++    3185:00001100 01110001: 00100101 : 25:045 > opcode: dcr h
++    3186:00001100 01110010: 11000010 : C2:302 > opcode: jnz NT2
++    3187:00001100 01110011: 01101100 : 6C:154 > lb: 108
++    3188:00001100 01110100: 00001100 : 0C:014 > hb: 12
++    3189:00001100 01110101: 11001001 : C9:311 > opcode: ret
++    3190:00001100 01110110: 00100001 : 21:041 > opcode: lxi h,MSGMSF
++    3191:00001100 01110111: 11100110 : E6:346 > lb: 230
++    3192:00001100 01111000: 00010011 : 13:023 > hb: 19
++    3193:00001100 01111001: 11001101 : CD:315 > opcode: call MSG
++    3194:00001100 01111010: 11101000 : E8:350 > lb: 232
++    3195:00001100 01111011: 00001010 : 0A:012 > hb: 10
++    3196:00001100 01111100: 11000011 : C3:303 > opcode: jmp GALAXY
++    3197:00001100 01111101: 00000000 : 00:000 > lb: 0
++    3198:00001100 01111110: 00000101 : 05:005 > hb: 5
